symbol,tier,sector,day0_date,surprise_percentage,pnl_pct
HAFC,small,Financials,2014-11-10,21.78,1.3159354671900731
HAFC,small,Financials,2015-03-17,-44.44,0.7775357708261624
HAFC,small,Financials,2015-04-24,10.24,0.6529210003616192
HAFC,small,Financials,2015-07-24,21.38,-0.2586675454419525
HAFC,small,Financials,2015-10-28,11.68,0.630890384776396
HAFC,small,Financials,2016-01-27,16.56,-0.3321418908235916
HAFC,small,Financials,2016-04-20,0.0,-1.525659977779468
HAFC,small,Financials,2016-07-20,4.27,0.8679545972331274
HAFC,small,Financials,2016-10-19,-7.24,-1.5896251095926863
HAFC,small,Financials,2017-01-25,2.84,-0.28567808908151204
HAFC,small,Financials,2017-04-19,-1.49,0.7841044010180893
HAFC,small,Financials,2017-07-19,-3.86,-0.7062449513590863
HAFC,small,Financials,2017-10-18,0.35,0.4618487304856906
HAFC,small,Financials,2018-01-24,-24.37,-0.24625297242891708
HAFC,small,Financials,2018-04-25,-11.01,-8.238827915327294
HAFC,small,Financials,2018-07-25,-7.53,-8.46550973565967
HAFC,small,Financials,2018-10-24,-1.84,-13.604280892832316
HAFC,small,Financials,2019-01-16,-9.09,-1.4905569808457007
HAFC,small,Financials,2019-04-24,-2.72,-0.25962818539506527
HAFC,small,Financials,2019-10-07,-23.76,0.26401493573383183
HAFC,small,Financials,2019-10-23,-14.44,-2.4776545751103463
HAFC,small,Financials,2020-01-29,-25.71,-8.339121556708053
HAFC,small,Financials,2020-05-01,-72.03,-10.321029597458672
HAFC,small,Financials,2020-07-29,130.77,-1.4895648524638703
HAFC,small,Financials,2020-10-28,102.29,-2.1754620271770397
HAFC,small,Financials,2021-01-27,27.72,-2.943699876241922
HAFC,small,Financials,2021-04-28,29.19,1.3652667422621778
HAFC,small,Financials,2021-07-28,50.63,-3.778426600840234
HAFC,small,Financials,2021-10-27,49.83,-3.6863111185526702
HAFC,small,Financials,2022-01-26,80.46,-4.95243294137247
HAFC,small,Financials,2022-04-27,18.47,0.4256956263150482
HAFC,small,Financials,2022-07-27,22.39,-4.636896905402955
HAFC,small,Financials,2022-10-26,13.81,-2.1825655895536418
HAFC,small,Financials,2023-01-25,10.19,-5.5547857847910915
HAFC,small,Financials,2023-04-26,-5.76,-5.222151312129396
HAFC,small,Financials,2023-07-26,6.35,-2.5665142237817866
HAFC,small,Financials,2023-10-25,0.98,-2.74283769595072
HAFC,small,Financials,2024-01-24,2.69,-8.066946895209977
HAFC,small,Financials,2024-04-24,-1.96,-1.50738913584044
HAFC,small,Financials,2024-07-24,2.13,-4.140015278917716
HAFC,small,Financials,2024-10-23,1.38,-5.600925087786882
HAFC,small,Financials,2025-01-29,10.27,-5.761828810185518
HAFC,small,Financials,2025-04-23,1.05,-1.2765180650632915
HAFC,small,Financials,2025-07-23,-18.03,-9.906914003232375
HAFC,small,Financials,2025-10-22,12.31,-6.5392399338003155
HAFC,small,Financials,2026-01-28,-0.36,-11.576840673974012
HAFC,small,Financials,2026-04-22,6.76,-6.162769678571937
HII,mid,Defense,2014-05-09,-5.6,0.7554037689755483
HII,mid,Defense,2014-08-08,-4.12,-0.7522378429101402
HII,mid,Defense,2014-11-07,-10.25,0.5518703899987074
HII,mid,Defense,2015-02-20,8.78,-2.3619389849216446
HII,mid,Defense,2015-05-08,-12.04,-2.194588202728321
HII,mid,Defense,2015-08-07,16.89,-4.008076191017844
HII,mid,Defense,2015-11-06,16.87,1.134784183291242
HII,mid,Defense,2016-02-19,-3.26,1.3651876682413107
HII,mid,Defense,2016-05-06,17.7,-1.7866171409433487
HII,mid,Defense,2016-08-05,22.92,-1.1496903595805816
HII,mid,Defense,2016-11-04,-3.93,0.13748073190096122
HII,mid,Defense,2017-02-17,67.9,-0.15314327466107103
HII,mid,Defense,2017-05-05,-5.46,-2.529525113164184
HII,mid,Defense,2017-08-04,19.59,0.6718804733769554
HII,mid,Defense,2017-11-09,17.18,-2.2354585719289615
HII,mid,Defense,2018-02-16,5.82,-1.8528530798959428
HII,mid,Defense,2018-05-04,-13.92,0.48301559576779174
HII,mid,Defense,2018-08-03,28.42,-0.826248635043396
HII,mid,Defense,2018-11-09,27.71,0.4859209945440013
HII,mid,Defense,2019-02-15,6.57,-1.570224349505029
HII,mid,Defense,2019-05-03,-13.02,-0.5637675715463486
HII,mid,Defense,2019-08-02,-14.12,-2.8370236246040843
HII,mid,Defense,2019-11-08,2.98,1.0624885833702962
HII,mid,Defense,2020-02-14,4.23,-0.0632466425054301
HII,mid,Defense,2020-05-08,-6.38,-2.5020203119475255
HII,mid,Defense,2020-08-07,-68.58,-0.9900849728589547
HII,mid,Defense,2020-11-06,31.51,1.1561322781055066
HII,mid,Defense,2021-02-12,35.88,-2.182094378896962
HII,mid,Defense,2021-05-07,39.53,0.35140471000100504
HII,mid,Defense,2021-08-06,24.88,-0.03001609335479527
HII,mid,Defense,2021-11-05,19.15,-0.07588468837332707
HII,mid,Defense,2022-02-11,-4.46,-1.2499586588955625
HII,mid,Defense,2022-05-06,17.12,-0.10335274856722654
HII,mid,Defense,2022-08-05,29.0,0.7166682639178374
HII,mid,Defense,2022-11-04,0.96,1.5422401489020547
HII,mid,Defense,2023-02-10,-6.5,0.5896734260581584
HII,mid,Defense,2023-05-05,12.94,-1.4891366958026142
HII,mid,Defense,2023-08-04,7.82,0.5741215332520095
HII,mid,Defense,2023-11-03,8.9,2.093185392206164
HII,mid,Defense,2024-02-02,61.89,0.721635485666222
HII,mid,Defense,2024-05-03,11.35,1.7455874196967136
HII,mid,Defense,2024-08-02,25.71,0.15149490660820364
HII,mid,Defense,2024-11-01,-31.67,2.4105387623351815
HII,mid,Defense,2025-02-07,2.03,-1.9593741161313014
HII,mid,Defense,2025-05-02,34.99,1.333492166079075
HII,mid,Defense,2025-08-01,12.53,-1.3725617314862053
HII,mid,Defense,2025-10-31,8.31,0.7926346114187405
HII,mid,Defense,2026-02-06,5.03,-4.9708103646682495
HII,mid,Defense,2026-05-06,1.68,0.10337319798970102
HOOD,large,Tech,2021-10-27,-170.0,-8.919114869623929
HOOD,large,Tech,2022-01-28,-63.3333,-6.461450893243178
HOOD,large,Tech,2022-04-29,-25.0,0.46754010294600024
HOOD,large,Tech,2022-08-03,6.0606,-9.011120025948966
HOOD,large,Tech,2022-11-03,60.0,-5.531486087861975
HOOD,large,Tech,2023-02-09,-62.5,-1.3904951556764074
HOOD,large,Tech,2023-05-11,25.0,-4.864492515180276
HOOD,large,Tech,2023-08-03,25.0,-4.991157477448409
HOOD,large,Tech,2023-11-08,-8.3333,-12.258117179218356
HOOD,large,Tech,2024-02-14,85.7143,-11.15197534328032
HOOD,large,Tech,2024-05-09,200.0,-0.5796601208914574
HOOD,large,Tech,2024-08-08,15.3846,-0.04249667994831574
HOOD,large,Tech,2024-10-31,0.0,-14.64284879325755
HOOD,large,Tech,2025-02-13,100.0,-11.202613411996227
HOOD,large,Tech,2025-05-01,12.1212,0.8690801284299754
HOOD,large,Tech,2025-07-31,35.4839,-0.4417780610609765
HOOD,large,Tech,2025-11-06,19.6078,-7.42853554682779
HOOD,large,Tech,2026-02-11,12.3596,-4.7344325439104225
HOOD,large,Tech,2026-04-29,-2.5641,-9.793620326999164
HSTM,small,Healthcare,2014-04-22,3.35,-3.888658678046409
HSTM,small,Healthcare,2014-07-22,25.88,-13.956446893604047
HSTM,small,Healthcare,2014-10-21,70.14,-19.867149613150453
HSTM,small,Healthcare,2015-02-19,14.3,-9.605227843370706
HSTM,small,Healthcare,2015-04-21,85.59,-7.955568370618658
HSTM,small,Healthcare,2015-07-21,27.75,0.6982091837164841
HSTM,small,Healthcare,2015-10-20,51.25,-8.30966152311684
HSTM,small,Healthcare,2016-02-17,51.3,-9.184452434012181
HSTM,small,Healthcare,2016-04-26,-10.22,0.9408916207600551
HSTM,small,Healthcare,2016-07-26,-35.37,-2.7476612937680382
HSTM,small,Healthcare,2016-11-03,-13.32,-6.458147146860368
HSTM,small,Healthcare,2017-02-22,-52.0,-1.5214948582248273
HSTM,small,Healthcare,2017-04-25,65.42,-16.495141175721763
HSTM,small,Healthcare,2017-07-25,129.13,-8.666271656892269
HSTM,small,Healthcare,2017-10-24,69.37,-0.8808084888067196
HSTM,small,Healthcare,2018-02-21,395.24,-5.716939426760276
HSTM,small,Healthcare,2018-05-01,71.44,-7.438488291503525
HSTM,small,Healthcare,2018-07-24,49.59,-4.8450011071792165
HSTM,small,Healthcare,2018-10-23,32.47,1.1339356880787588
HSTM,small,Healthcare,2019-02-20,68.07,-2.550773460759414
HSTM,small,Healthcare,2019-04-23,114.29,-4.12549179601079
HSTM,small,Healthcare,2019-07-23,2.94,0.42214479431082497
HSTM,small,Healthcare,2019-10-22,83.33,-4.584031291962773
HSTM,small,Healthcare,2020-02-19,78.37,0.9765693618207192
HSTM,small,Healthcare,2020-04-28,-17.91,-5.233973471228542
HSTM,small,Healthcare,2020-07-28,214.29,-0.4108953133105222
HSTM,small,Healthcare,2020-10-27,81.82,-6.712263655617733
HSTM,small,Healthcare,2021-02-23,-28.57,1.2132493073743988
HSTM,small,Healthcare,2021-04-27,598.0,-8.853629065844693
HSTM,small,Healthcare,2021-07-27,366.67,0.08920848934487147
HSTM,small,Healthcare,2021-10-26,400.0,-8.665898954423316
HSTM,small,Healthcare,2022-02-22,66.67,-15.88972408302931
HSTM,small,Healthcare,2022-04-26,80.0,-1.4949804869121486
HSTM,small,Healthcare,2022-07-26,40.26,-3.2067490251200588
HSTM,small,Healthcare,2022-10-25,-2.66,-4.087657413029696
HSTM,small,Healthcare,2023-02-21,29.39,-3.83960604267351
HSTM,small,Healthcare,2023-04-25,41.18,-6.390372806473926
HSTM,small,Healthcare,2023-07-25,44.44,-0.24032943816471353
HSTM,small,Healthcare,2023-10-24,34.75,-14.188329818867189
HSTM,small,Healthcare,2024-02-20,58.11,-0.6512197151930613
HSTM,small,Healthcare,2024-04-23,53.15,-8.314421860865842
HSTM,small,Healthcare,2024-07-23,32.78,-2.8084739264278324
HSTM,small,Healthcare,2024-10-22,53.23,-4.74842211813492
HSTM,small,Healthcare,2025-02-25,11.63,0.9087007564256142
HSTM,small,Healthcare,2025-05-06,-16.0,-17.992886837015195
HSTM,small,Healthcare,2025-08-05,5.88,-0.035444290141954715
HSTM,small,Healthcare,2025-11-04,11.11,-1.3234175661212273
HSTM,small,Healthcare,2026-02-24,2.86,-2.4732201928544644
HSTM,small,Healthcare,2026-05-05,17.65,-13.219575642472613
ICUI,mid,Healthcare,2014-05-07,15.44,-3.2256421085856797
ICUI,mid,Healthcare,2014-08-12,12.87,-8.865737969858468
ICUI,mid,Healthcare,2014-11-11,67.48,-11.830170756379964
ICUI,mid,Healthcare,2015-02-10,22.17,-1.5630395761167664
ICUI,mid,Healthcare,2015-05-06,78.31,-7.6490256891059865
ICUI,mid,Healthcare,2015-08-11,47.34,-17.609346053098665
ICUI,mid,Healthcare,2015-11-06,23.08,-3.0336451792426837
ICUI,mid,Healthcare,2016-02-04,3.23,-7.124356824973369
ICUI,mid,Healthcare,2016-05-11,16.8,-1.6888307827814675
ICUI,mid,Healthcare,2016-08-09,9.26,-6.998781294434445
ICUI,mid,Healthcare,2016-11-10,16.05,-1.424722880030534
ICUI,mid,Healthcare,2017-03-02,1.27,0.39022631198303437
ICUI,mid,Healthcare,2017-05-11,265.22,-1.5835558926933815
ICUI,mid,Healthcare,2017-08-10,-0.87,-2.0754391687586806
ICUI,mid,Healthcare,2017-11-10,46.73,-9.201532640296405
